Country,RDI,Percent Christian,Percent Muslim,Percent Unaffiliated,Percent Hindu,Percent Buddhist,Percent Folk Religions,Percent Other Religions,Percent Jewish,2010 Country Population
Ireland,1.7,92.0%,1.1%,6.2%,0.2%,0.2%,0.2%,< 0.1%,< 0.1%,"4,470,000"
Isle of Man,3.1,84.1%,0.2%,15.4%,0.2%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"80,000"
Israel,4.5,2.0%,18.6%,3.1%,< 0.1%,0.3%,0.2%,0.1%,75.6%,"7,420,000"
Italy,3.3,83.3%,3.7%,12.4%,0.1%,0.2%,0.1%,< 0.1%,< 0.1%,"60,550,000"
Ivory Coast,7.4,44.1%,37.5%,8.0%,< 0.1%,< 0.1%,10.2%,0.2%,< 0.1%,"19,740,000"
Jamaica,4.3,77.2%,< 0.1%,17.2%,< 0.1%,< 0.1%,4.5%,1.0%,< 0.1%,"2,740,000"
Japan,6.2,1.6%,0.2%,57.0%,< 0.1%,36.2%,0.4%,4.7%,< 0.1%,"126,540,000"
Jordan,0.6,2.2%,97.2%,< 0.1%,0.1%,0.4%,< 0.1%,< 0.1%,< 0.1%,"6,190,000"
Kazakhstan,5.0,24.8%,70.4%,4.2%,< 0.1%,0.2%,0.3%,0.1%,< 0.1%,"16,030,000"
Kenya,3.1,84.8%,9.7%,2.5%,0.1%,< 0.1%,1.7%,1.2%,< 0.1%,"40,510,000"
Kiribati,0.7,97.0%,< 0.1%,0.8%,< 0.1%,< 0.1%,< 0.1%,2.2%,< 0.1%,"100,000"
Kosovo,2.6,11.4%,87.0%,1.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"2,080,000"
Kuwait,4.8,14.3%,74.1%,< 0.1%,8.5%,2.8%,< 0.1%,0.3%,< 0.1%,"2,740,000"
Kyrgyzstan,2.4,11.4%,88.0%,0.4%,< 0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,"5,330,000"
Laos,5.4,1.5%,< 0.1%,0.9%,< 0.1%,66.0%,30.7%,0.7%,< 0.1%,"6,200,000"
Latvia,5.7,55.8%,0.1%,43.8%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"2,250,000"
Lebanon,5.5,38.3%,61.3%,0.3%,< 0.1%,0.2%,< 0.1%,< 0.1%,< 0.1%,"4,230,000"
Lesotho,0.7,96.8%,< 0.1%,3.1%,< 0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,"2,170,000"
Liberia,2.8,85.9%,12.0%,1.4%,< 0.1%,< 0.1%,0.5%,0.1%,< 0.1%,"3,990,000"
Libya,0.7,2.7%,96.6%,0.2%,< 0.1%,0.3%,< 0.1%,< 0.1%,< 0.1%,"6,360,000"
Liechtenstein,1.7,91.9%,5.0%,2.9%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.1%,"40,000"
Lithuania,2.1,89.8%,< 0.1%,10.0%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"3,320,000"
Luxembourg,4.9,70.4%,2.3%,26.8%,< 0.1%,< 0.1%,< 0.1%,0.3%,0.1%,"510,000"
Macau,6.8,7.2%,0.2%,15.4%,< 0.1%,17.3%,58.9%,1.0%,< 0.1%,"540,000"
Madagascar,3.0,85.3%,3.0%,6.9%,< 0.1%,< 0.1%,4.5%,< 0.1%,< 0.1%,"20,710,000"
Malawi,3.4,82.7%,13.0%,2.5%,< 0.1%,< 0.1%,1.7%,< 0.1%,< 0.1%,"14,900,000"
Malaysia,6.3,9.4%,63.7%,0.7%,6.0%,17.7%,2.3%,0.2%,< 0.1%,"28,400,000"
Maldives,0.4,0.4%,98.4%,< 0.1%,0.3%,0.6%,< 0.1%,< 0.1%,< 0.1%,"320,000"
Mali,1.6,3.2%,92.4%,2.7%,< 0.1%,< 0.1%,1.6%,< 0.1%,< 0.1%,"15,370,000"
Malta,0.7,97.0%,0.2%,2.5%,0.2%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"420,000"
Marshall Islands,0.6,97.5%,< 0.1%,1.5%,< 0.1%,< 0.1%,0.3%,0.8%,< 0.1%,"50,000"
Martinique,0.8,96.5%,0.2%,2.3%,0.2%,< 0.1%,0.2%,0.6%,< 0.1%,"410,000"
Mauritania,0.2,0.3%,99.1%,0.1%,< 0.1%,< 0.1%,0.5%,< 0.1%,< 0.1%,"3,460,000"
Mauritius,6.7,25.3%,16.7%,0.6%,56.4%,< 0.1%,0.7%,0.3%,< 0.1%,"1,300,000"
Mayotte,0.3,0.7%,98.6%,0.2%,< 0.1%,< 0.1%,0.5%,< 0.1%,< 0.1%,"200,000"
Mexico,1.1,95.1%,< 0.1%,4.7%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"113,420,000"
Moldova,0.6,97.4%,0.6%,1.4%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.6%,"3,570,000"
Monaco,2.8,86.0%,0.4%,11.7%,< 0.1%,< 0.1%,< 0.1%,0.2%,1.7%,"40,000"
Mongolia,6.5,2.3%,3.2%,35.9%,< 0.1%,55.1%,3.5%,< 0.1%,< 0.1%,"2,760,000"
Montenegro,4.0,78.1%,18.7%,3.2%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"630,000"
Montserrat,1.4,93.5%,< 0.1%,4.8%,0.1%,< 0.1%,0.2%,1.5%,< 0.1%,"< 10,000"
Morocco,0.0,< 0.1%,99.9%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"31,950,000"
Mozambique,7.0,56.7%,18.0%,17.9%,< 0.1%,< 0.1%,7.4%,< 0.1%,< 0.1%,"23,390,000"
Namibia,0.6,97.5%,0.3%,1.9%,< 0.1%,< 0.1%,0.2%,< 0.1%,< 0.1%,"2,280,000"
Nauru,4.1,79.0%,< 0.1%,4.5%,< 0.1%,1.1%,8.1%,7.4%,< 0.1%,"10,000"
Nepal,3.8,0.5%,4.6%,0.3%,80.7%,10.3%,3.7%,< 0.1%,< 0.1%,"29,960,000"
Netherlands,6.4,50.6%,6.0%,42.1%,0.5%,0.2%,0.2%,0.2%,0.2%,"16,610,000"
Netherlands Antilles,1.3,93.9%,0.2%,3.3%,0.2%,0.5%,1.2%,0.3%,0.3%,"200,000"
New Caledonia,3.0,85.2%,2.8%,10.4%,< 0.1%,0.6%,0.2%,0.8%,< 0.1%,"250,000"
New Zealand,6.2,57.0%,1.2%,36.6%,2.1%,1.6%,0.5%,0.7%,0.2%,"4,370,000"
Nicaragua,2.8,85.8%,< 0.1%,12.5%,< 0.1%,< 0.1%,1.4%,0.1%,< 0.1%,"5,790,000"
Niger,0.4,0.8%,98.4%,0.7%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"15,510,000"
Nigeria,5.9,49.3%,48.8%,0.4%,< 0.1%,< 0.1%,1.4%,< 0.1%,< 0.1%,"158,420,000"
Niue,0.8,96.4%,< 0.1%,3.3%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"< 10,000"
North Korea,5.3,2.0%,< 0.1%,71.3%,< 0.1%,1.5%,12.3%,12.9%,< 0.1%,"24,350,000"
Northern Mariana Islands,3.7,81.3%,0.7%,1.0%,< 0.1%,10.6%,5.3%,1.1%,< 0.1%,"60,000"
Norway,3.1,84.7%,3.7%,10.1%,0.5%,0.6%,< 0.1%,0.2%,< 0.1%,"4,880,000"
Oman,2.9,6.5%,85.9%,0.2%,5.5%,0.8%,< 0.1%,1.0%,< 0.1%,"2,780,000"
Pakistan,0.8,1.6%,96.4%,< 0.1%,1.9%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"173,590,000"
Palau,2.7,86.7%,< 0.1%,1.2%,< 0.1%,0.8%,0.8%,10.4%,< 0.1%,"20,000"
Palestinian territories,0.5,2.4%,97.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"4,040,000"
Panama,1.5,93.0%,0.7%,4.8%,< 0.1%,0.2%,0.4%,0.4%,0.4%,"3,520,000"
Papua New Guinea,0.2,99.2%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.4%,0.2%,< 0.1%,"6,860,000"
Paraguay,0.7,96.9%,< 0.1%,1.1%,< 0.1%,< 0.1%,1.7%,0.2%,< 0.1%,"6,450,000"
Peru,1.0,95.5%,< 0.1%,3.0%,< 0.1%,0.2%,1.0%,0.3%,< 0.1%,"29,080,000"
Philippines,1.6,92.6%,5.5%,0.1%,< 0.1%,< 0.1%,1.5%,0.1%,< 0.1%,"93,260,000"
Poland,1.2,94.3%,< 0.1%,5.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"38,280,000"
Portugal,1.4,93.8%,0.6%,4.4%,0.1%,0.6%,0.5%,< 0.1%,< 0.1%,"10,680,000"
Puerto Rico,0.7,96.7%,< 0.1%,1.9%,< 0.1%,0.3%,0.8%,0.1%,< 0.1%,"3,750,000"
Qatar,5.7,13.8%,67.7%,0.9%,13.8%,3.1%,< 0.1%,0.7%,< 0.1%,"1,760,000"
Republic of Macedonia,5.6,59.3%,39.3%,1.4%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"2,060,000"
Republic of the Congo,2.9,85.9%,1.2%,9.0%,< 0.1%,< 0.1%,2.8%,1.1%,< 0.1%,"4,040,000"
Reunion,2.6,87.6%,4.2%,2.0%,4.5%,0.2%,0.4%,1.1%,< 0.1%,"850,000"
Romania,0.1,99.5%,0.3%,0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"21,490,000"
Russia,4.9,73.3%,10.0%,16.2%,< 0.1%,0.1%,0.2%,< 0.1%,0.2%,"142,960,000"
Rwanda,1.4,93.4%,1.8%,3.6%,< 0.1%,< 0.1%,1.0%,0.2%,< 0.1%,"10,620,000"
Samoa,0.7,96.8%,< 0.1%,2.5%,< 0.1%,< 0.1%,< 0.1%,0.4%,< 0.1%,"180,000"
San Marino,1.8,91.6%,< 0.1%,7.2%,< 0.1%,< 0.1%,< 0.1%,0.9%,0.3%,"30,000"
Sao Tome and Principe,3.5,82.2%,< 0.1%,12.6%,< 0.1%,< 0.1%,2.9%,2.4%,< 0.1%,"170,000"
Saudi Arabia,1.5,4.4%,93.0%,0.7%,1.1%,0.3%,0.3%,0.3%,< 0.1%,"27,450,000"
Senegal,0.8,3.6%,96.4%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"12,430,000"
Serbia,1.6,92.5%,4.2%,3.3%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"7,770,000"
Seychelles,1.3,94.0%,1.1%,2.1%,2.1%,< 0.1%,< 0.1%,0.6%,< 0.1%,"90,000"
Sierra Leone,4.0,20.9%,78.0%,0.1%,< 0.1%,< 0.1%,0.8%,< 0.1%,< 0.1%,"5,870,000"
Singapore,9.0,18.2%,14.3%,16.4%,5.2%,33.9%,2.3%,9.7%,< 0.1%,"5,090,000"
Slovakia,2.9,85.3%,0.2%,14.3%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"5,460,000"
Slovenia,4.0,78.4%,3.6%,18.0%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"2,030,000"
Solomon Islands,0.6,97.4%,< 0.1%,0.2%,< 0.1%,0.3%,1.3%,0.7%,< 0.1%,"540,000"
Somalia,0.1,< 0.1%,99.8%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"9,330,000"
South Africa,3.6,81.2%,1.7%,14.9%,1.1%,0.2%,0.4%,0.3%,0.1%,"50,130,000"
South Korea,7.4,29.4%,0.2%,46.4%,< 0.1%,22.9%,0.8%,0.2%,< 0.1%,"48,180,000"
South Sudan,6.0,60.5%,6.2%,0.5%,< 0.1%,< 0.1%,32.9%,< 0.1%,< 0.1%,"9,950,000"
Spain,3.9,78.6%,2.1%,19.0%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.1%,"46,080,000"
Sri Lanka,5.6,7.3%,9.8%,< 0.1%,13.6%,69.3%,< 0.1%,< 0.1%,< 0.1%,"20,860,000"
St. Helena,0.8,96.5%,< 0.1%,3.3%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"< 10,000"
St. Kitts and Nevis,1.2,94.6%,0.3%,1.6%,1.5%,< 0.1%,1.3%,0.8%,< 0.1%,"50,000"
St. Lucia,1.9,91.1%,0.1%,6.0%,0.3%,< 0.1%,0.5%,2.0%,< 0.1%,"170,000"
St. Pierre and Miquelon,1.2,94.7%,0.2%,3.8%,< 0.1%,< 0.1%,< 0.1%,1.3%,< 0.1%,"< 10,000"
St. Vincent and the Grenadines,2.4,88.7%,1.5%,2.5%,3.4%,< 0.1%,2.0%,2.0%,< 0.1%,"110,000"
Sudan,2.0,5.4%,90.7%,1.0%,< 0.1%,< 0.1%,2.8%,< 0.1%,< 0.1%,"33,600,000"
Suriname,7.6,51.6%,15.2%,5.4%,19.8%,0.6%,5.3%,1.8%,0.2%,"520,000"
Swaziland,2.4,88.1%,0.2%,10.1%,0.1%,< 0.1%,1.0%,0.4%,< 0.1%,"1,190,000"
Sweden,5.4,67.2%,4.6%,27.0%,0.2%,0.4%,0.2%,0.2%,0.1%,"9,380,000"
Switzerland,3.7,81.3%,5.5%,11.9%,0.4%,0.4%,< 0.1%,0.1%,0.3%,"7,660,000"
Syria,1.6,5.2%,92.8%,2.0%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"20,410,000"
Taiwan,8.2,5.5%,< 0.1%,12.7%,< 0.1%,21.3%,44.2%,16.2%,< 0.1%,"23,220,000"
Tajikistan,0.7,1.6%,96.7%,1.5%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"6,880,000"
Tanzania,5.7,61.4%,35.2%,1.4%,0.1%,< 0.1%,1.8%,< 0.1%,< 0.1%,"44,840,000"
Thailand,1.5,0.9%,5.5%,0.3%,0.1%,93.2%,< 0.1%,< 0.1%,< 0.1%,"69,120,000"
Timor-Leste,0.1,99.6%,0.1%,< 0.1%,< 0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,"1,120,000"
Togo,7.5,43.7%,14.0%,6.2%,< 0.1%,< 0.1%,35.6%,0.6%,< 0.1%,"6,030,000"
Tokelau,0.0,99.8%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"< 10,000"
Tonga,0.3,98.9%,< 0.1%,< 0.1%,0.1%,< 0.1%,< 0.1%,0.9%,< 0.1%,"100,000"
Trinidad and Tobago,5.8,65.9%,5.9%,1.9%,22.7%,0.3%,1.9%,1.4%,< 0.1%,"1,340,000"
Tunisia,0.1,0.2%,99.5%,0.2%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"10,480,000"
Turkey,0.4,0.4%,98.0%,1.2%,< 0.1%,< 0.1%,< 0.1%,0.2%,< 0.1%,"72,750,000"
Turkmenistan,1.5,6.4%,93.0%,0.5%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"5,040,000"
Turks and Caicos Islands,1.7,92.1%,< 0.1%,4.6%,< 0.1%,< 0.1%,2.7%,0.6%,< 0.1%,"40,000"
Tuvalu,0.7,96.7%,0.1%,1.3%,< 0.1%,< 0.1%,< 0.1%,1.9%,< 0.1%,"< 10,000"
